Delaware,DE,1954,971180
Pennsylvania,PA,44817,12823989
New Jersey,NJ,7417,9032872
Georgia,GA,57906,10545138
Connecticut,CT,4845,3588683
Massachusetts,MA,7840,6895917
Maryland,MD,9774,6079602
South Carolina,SC,30109,5088916
New Hampshire,NH,8968,1350575
Virginia,VA,39594,8525660
New York,NY,47214,19862512
North Carolina,NC,48711,10390149
Rhode Island,RI,1045,1061712
Vermont,VT,9250,623960
Kentucky,KY,39728,4472265
Tennessee,TN,41217,6782564
Ohio,OH,40948,11694664
Louisiana,LA,43562,4682509
Indiana,IN,35867,6699620
Mississippi,MS,46907,2982785
Illinois,IL,55584,12768320
Alabama,AL,50744,4888949
Maine,ME,60862,1341582
Missouri,MO,69704,6135888
Arkansas,AR,52068,3020327
Michigan,MI,56804,9991177
Florida,FL,53927,21312211
Texas,TX,261797,28704330
Iowa,IA,55869,3160553
Wisconsin,WI,54310,5818049
California,CA,155959,39776830
Minnesota,MN,79610,5628162
Oregon,OR,95997,4199563
Kansas,KS,81815,2918515
West Virginia,WV,24078,1803077
Nevada,NV,109826,3056824
Nebraska,NE,76872,1932549
Colorado,CO,104100,5684203
North Dakota,ND,70704,755238
South Dakota,SD,77121,877790
Montana,MT,147046,1062330
Washington,WA,71303,7530552
Idaho,ID,83574,1753860
Wyoming,WY,97818,573720
Utah,UT,84904,3159345
Oklahoma,OK,69903,3940521
New Mexico,NM,121598,2090708
Arizona,AZ,113635,7123898
Alaska,AK,571951,738068
Hawaii,HI,6423,1426393
